timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,friction_cost,close_value,realized_pnl,drift_distance,drift_count
2025-03-28T18:10:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,556.33,557.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,552.0,557.0,562.0,5.0,5.0,1.156,0.056,,,,
2025-03-28T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,555.48,557.0,1.0,Session window closed.,PRIMARY,552.0,557.0,562.0,5.0,5.0,1.156,,1.7386,0.5826,,
2025-03-31T17:50:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,554.01,553.0,2.0,Opened the primary butterfly corridor layer.,PRIMARY,548.0,553.0,558.0,5.0,5.0,1.156,0.056,,,,
2025-03-31T18:00:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,554.65,554.0,3.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,549.0,554.0,559.0,5.0,5.0,1.156,0.056,,,,
2025-03-31T18:15:00+00:00,SPY,DRIFT_STARTED,DRIFTING,556.82,554.0,,Corridor drift started.,,,,,,,,,,,2.82,
2025-03-31T18:20:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,556.38,554.0,,Drift resolved without rebuilding.,,,,,,,,,,,,
2025-03-31T18:35:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,557.49,553.0,2.0,Regime turned TREND_UP.,PRIMARY,548.0,553.0,558.0,5.0,5.0,1.156,,1.4163,0.2603,,
2025-03-31T18:35:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,557.49,554.0,3.0,Regime turned TREND_UP.,SUPPLEMENTAL,549.0,554.0,559.0,5.0,5.0,1.156,,1.5196,0.3636,,
2025-04-02T14:00:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,560.45,559.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,554.0,559.0,564.0,5.0,5.0,1.156,0.056,,,,
2025-04-02T14:20:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,560.58,560.0,5.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,555.0,560.0,565.0,5.0,5.0,1.156,0.056,,,,
2025-04-02T14:55:00+00:00,SPY,DRIFT_STARTED,DRIFTING,562.09,559.0,,Corridor drift started.,,,,,,,,,,,3.09,
